id,tvätt,valtyp,valsedelsuppgift
202001,kommunstyrelsens ordförande,K,"44, Kommunstyrelsens ordförande, Centrala Väsby"
22973,kommunstyrelsens ordförande,K,"32, Kommunstyrelsens ordförande"
132918,kommunstyrelsens ordförande,K,"49 år, Kommunstyrelsens ordförande, Knivsta"
1662,kommunstyrelsens ordförande,K,"46 år, Kommunstyrelsens ordförande, Gnosjö"
56788,kommunstyrelsens ordförande,K,"63 år, kommunstyrelsens ordförande, Hofterup"
66434,kommunstyrelsens ordförande,K,Kommunstyrelsens ordförande
66434,kommunstyrelsens ordförande,K,Kommunstyrelsens ordförande
253982,kommunstyrelsens ordförande,K,"54 år, Kommunstyrelsens ordförande"
627,kommunstyrelsens ordförande,K,"59 år, Kommunstyrelsens ordförande"
93520,kommunstyrelsens ordförande,K,"61 år, Kommunstyrelsens ordförande"
180052,kommunstyrelsens ordförande,K,"49, Kallhäll, Kommunstyrelsens ordförande"
202002,försäljningsansvarig,K,"53, Försäljningschef, Bollstanäs"
67278,försäljningsansvarig,K,"försäljningschef, Odenslunda"
94905,försäljningsansvarig,K,"38, Försäljningschef"
20248,försäljningsansvarig,K,Försäljningschef
126512,försäljningsansvarig,K,"59, Försäljningschef, Hägernäs"
126512,försäljningsansvarig,K,"59, Försäljningschef, Hägernäs"
97066,försäljningsansvarig,K,försäljningschef
196499,försäljningsansvarig,K,"67år, Försäljningschef, Strängnäs"
200860,försäljningsansvarig,K,"46 år, försäljningschef"
24379,försäljningsansvarig,K,"47 år, Försäljningschef, Norrköping"
24379,försäljningsansvarig,K,"47 år, Försäljningschef, Norrköping"
249751,försäljningsansvarig,K,"försäljningschef, 53 år, Östra Tollstad"
72183,försäljningsansvarig,K,"Försäljningschef, Aneby"
77799,försäljningsansvarig,K,"Försäljningschef, Habo"
77634,försäljningsansvarig,K,"Försäljningschef, Gislaved"
37183,försäljningsansvarig,K,"56 år,Försäljningschef,Jönköping"
37183,försäljningsansvarig,K,"56 år,Försäljningschef,Jönköping"
37183,försäljningsansvarig,K,"56 år,Försäljningschef,Jönköping"
137856,försäljningsansvarig,K,"61 år, Försäljningschef, Nässjö"
68886,försäljningsansvarig,K,"53 år, Försäljningschef, Vetlanda"
218953,försäljningsansvarig,K,"41 år, Försäljningschef"
218956,försäljningsansvarig,K,"50 år, Försäljningschef"
46243,försäljningsansvarig,K,"38 år, Försäljningschef, Tingsryd"
329298,försäljningsansvarig,K,"61 år, försäljningschef, Solstadström"
119614,försäljningsansvarig,K,"54, Försäljningschef, Kågeröd"
60925,försäljningsansvarig,K,"42 år, försäljningschef, Svedala"
63157,försäljningsansvarig,K,"46 år, försäljningschef, Åstorp"
63181,försäljningsansvarig,K,"48 år, försäljningschef, Åstorp"
52515,försäljningsansvarig,K,"48 år, försäljningschef, Båstad"
56923,försäljningsansvarig,K,"49 år, försäljningschef, Landskrona"
81221,försäljningsansvarig,K,"51, Försäljningschef, Ängelholm"
29610,försäljningsansvarig,K,"46 år, Försäljningschef, Steninge"
240622,försäljningsansvarig,K,"65 år, Försäljningschef, Falkenberg"
158814,försäljningsansvarig,K,"62 år, försäljningschef, Trönninge"
158814,försäljningsansvarig,K,"62 år, försäljningschef, Trönninge"
193034,försäljningsansvarig,K,"50, Försäljningschef"
255669,försäljningsansvarig,K,"Försäljningschef, Moholm"
24122,försäljningsansvarig,K,"53 år, försäljningschef, Stråningstorp"
9978,försäljningsansvarig,K,Försäljningschef
168331,försäljningsansvarig,K,"53 år, försäljningschef, Valbo"
17559,försäljningsansvarig,K,"försäljningschef, 37 år, Sollefteå"
252652,försäljningsansvarig,K,"63 år, Försäljningschef, Strömsund"
67706,försäljningsansvarig,K,"38, försäljningschef, Brån"
181974,försäljningsansvarig,K,"Försäljningschef, Tärendö"
27892,försäljningsansvarig,K,"Klippan, försäljningschef"
202003,studerande,K,"39, Student, Grimsta"
202014,studerande,K,"24, Student, Bollstanäs"
104756,studerande,K,"23, Student"
216690,studerande,K,"22 år, Student, Centrum"
216707,studerande,K,"18 år, Student, Odenslunda"
67301,studerande,K,"student, 19"
208822,studerande,K,"24, Student, Ängsvik"
