id,tvätt,valtyp,valsedelsuppgift
1,projektledare,R,"Projektledare, Sala"
1,projektledare,L,"Projektledare, Sala"
3,handläggare,R,"Handläggare, Sala"
3,handläggare,L,"Handläggare, Sala"
4,chef,R,"Enhetschef, Sala"
4,chef,L,"Enhetschef, Sala"
5,handläggare,R,"Handläggare, Sala"
5,handläggare,L,"Handläggare, Sala"
8,socialarbetare,R,"Socialsekreterare, Sala"
8,socialarbetare,L,"Socialsekreterare, Sala"
9,egenföretagare,L,"Företagare, Sala"
10,ingenjör,R,"Byggnadsingenjör, Sala"
10,ingenjör,L,"Byggnadsingenjör, Sala"
27,riksdagsledamot,R,"riksdagsledamot, Västmanlands län"
27,riksdagsledamot,R,"Riksdagsledamot, Västerås"
28,riksdagsledamot,R,"Riksdagsledamot, Västerås"
28,riksdagsledamot,L,"Riksdagsledamot, Västerås"
29,hr-konsult,R,"HR-konsult, Västerås"
30,militär,R,"Officer, Västerås"
30,militär,L,"Officer, Västerås"
31,förskolelärare,R,"Förskollärare, Västerås"
32,journalist,R,"Journalist, Hallstahammar"
32,journalist,L,"Oppositionsråd, Hallstahammar"
32,oppositionsråd,R,"Journalist, Hallstahammar"
32,oppositionsråd,L,"Oppositionsråd, Hallstahammar"
33,oppositionsråd,R,"Oppositionsråd, Västerås"
34,egenföretagare,R,"Företagare, Västerås"
35,politisk tjänsteman,R,"Politisk sekreterare, Västerås"
36,vd,R,"VD/Senior Advisor, Hallstahammar"
36,vd,L,"VD/Senior Advisor, Hallstahammar"
37,personalspecialist,R,"Personalplanerare, Arboga"
37,personalspecialist,L,"Personalplanerare, Arboga"
38,polis,R,"Poliskommissarie, Västerås"
39,produktionstekniker,R,"Produktionstekniker, Köping"
39,produktionstekniker,L,"Projektledare, Köping"
39,projektledare,R,"Produktionstekniker, Köping"
39,projektledare,L,"Projektledare, Köping"
40,chef,R,"Produktionschef, Västerås"
42,studerande,R,"Studerande, Västerås"
43,sjuksköterska,R,"Sjuksköterska, Hallstahammar"
43,sjuksköterska,L,"Sjuksköterska, Hallstahammar"
45,tandläkare,R,"Tandläkare, Västerås"
45,tandläkare,L,"Tandläkare, Västerås"
46,lärare,R,"Gymnasielärare , Västerås"
46,lärare,L,"Gymnasielärare , Västerås"
48,arbetare,R,"Verkstadsarbetare, Hallstahammar"
48,arbetare,L,"Verkstadsarbetare, Hallstahammar"
49,civilingenjör,R,"Civilingenjör, Västerås"
49,civilingenjör,L,"Civilingenjör, Västerås"
51,civilingenjör,R,"Civilingenjör, Västerås"
51,civilingenjör,L,"Civilingenjör, Västerås"
52,projektledare,R,"Projektledare, Norberg"
52,projektledare,L,"Projektledare, Norberg"
54,ingenjör,R,"Byggnadsingenjör, Västerås"
54,ingenjör,L,"Byggnadsingenjör, Västerås"
56,lärare,R,"Lärare, Västerås"
58,egenföretagare,R,"Företagare, Västerås"
58,egenföretagare,L,"Företagare, Västerås"
59,ekonom,R,"Ekonom, Skinnskatteberg"
59,ekonom,L,"Ekonom, Skinnskatteberg"
60,affärsrådgivare,R,"Affärsutvecklare, Västerås"
60,affärsrådgivare,L,"Affärsutvecklare, Västerås"
62,civilingenjör,R,"Civilingenjör, Västerås"
63,studerande,R,"Studerande, Västerås"
63,studerande,L,"Studerande, Västerås"
64,projektkonsult,R,"Projektkonsult, Västerås"
64,projektkonsult,L,"Projektkonsult, Västerås"
70,militär,L,"Officer, Arboga"
89,kommunalråd,L,"Kommunalråd, Arboga"
90,pensionär,L,"Pensionär, Arboga"
91,chef,L,"Avdelningschef, Arboga"
146,regionråd,L,"Regionråd, Västerås"
148,regionråd,L,"Regionråd, Västerås"
149,undersköterska,L,"Undersköterska, Västerås"
150,sjuksköterska,L,"Sjuksköterska, Västerås"
152,projektledare,L,"Projektledare, Västerås"
157,läkare,L,"Överläkare, Västerås"
159,prost,L,"Prost, Västerås"
