grund,tvätt
riksdagsledamot,riksdagsledamot
pensionär,pensionär
stockholm,ort
egenföretagare,egenföretagare
undersköterska,undersköterska
lärare,lärare
kommunalråd,kommunalråd
företagare,egenföretagare
studerande,studerande
örebro,ort
civilingenjör,civilingenjör
politisk sekreterare,politisk tjänsteman
kalmar,ort
sjuksköterska,sjuksköterska
uppsala,ort
civilekonom,civilekonom
projektledare,projektledare
jurist,jurist
student,studerande
linköping,ort
södermalm,ort
malmö,ort
socionom,socionom
göteborg,ort
norrköping,ort
botkyrka,ort
ekonom,ekonom
helsingborg,ort
solna,ort
sundbyberg,ort
kungsholmen,ort
lund,ort
södertälje,ort
västerås,ort
nacka,ort
täby,ort
bromma,ort
gymnasielärare,lärare
läkare,läkare
huddinge,ort
ingenjör,ingenjör
oppositionsråd,oppositionsråd
egen företagare,egenföretagare
halmstad,ort
oskarshamn,ort
konsult,konsult
umeå,ort
ombudsman,facklig företrädare
västervik,ort
lidingö,ort
upplands väsby,ort
gruppledare,chef
skövde,ort
norrmalm,ort
järfälla,ort
sollentuna,ort
kristianstad,ort
administratör,administratör
leg. sjuksköterska,sjuksköterska
jönköping,ort
mölndal,ort
norrtälje,ort
motala,ort
kommunikatör,kommunikatör
varberg,ort
falkenberg,ort
danderyd,ort
kungsbacka,ort
entreprenör,entreprenör
hässelby,ort
hägersten,ort
lantbrukare,bonde
haninge,ort
östermalm,ort
säljare,säljare
journalist,journalist
landstingsråd,landstingsråd
hässleholm,ort
falun,ort
borås,ort
regionråd,regionråd
ekerö,ort
skellefteå,ort
lerum,ort
trollhättan,ort
tyresö,ort
nynäshamn,ort
statsvetare,statsvetare
värmdö,ort
gävle,ort
tjänsteman,tjänsteman
vimmerby,ort
växjö,ort
kumla,ort
farsta,ort
alingsås,ort
sundsvall,ort
förskollärare,förskolelärare
trelleborg,ort
österåker,ort
nybro,ort
bromölla,ort
enhetschef,chef
vallentuna,ort
landskrona,ort
polis,polis
uddevalla,ort
borlänge,ort
ystad,ort
älvsjö,ort
falköping,ort
handläggare,handläggare
karlskrona,ort
mörbylånga,ort
vd,vd
bagarmossen,ort
vällingby,ort
hammarbyhöjden,ort
karlskoga,ort
årsta,ort
juriststudent,studerande
förbundssekreterare,förbundssekreterare
kävlinge,ort
eskilstuna,ort
skarpnäck,ort
mönsterås,ort
enköping,ort
vänersborg,ort
finspång,ort
senior,senior
rektor,rektor
vaxholm,ort
lidköping,ort
bandhagen,ort
munkedal,ort
östersund,ort
laholm,ort
karlstad,ort
höör,ort
kanslichef,kansliansvarig
personlig assistent,personlig assistent
söderköping,ort
ödeshög,ort
byggnadsarbetare,arbetare
verksamhetschef,chef
lindesberg,ort
tibro,ort
borgholm,ort
barnskötare,barnskötare
mjölby,ort
industriarbetare,arbetare
knivsta,ort
doktorand,forskare
statstjänsteman,statlig tjänsteman
spånga,ort
upplands-bro,ort
eslöv,ort
ängelholm,ort
hallsberg,ort
verksamhetsutvecklare,verksamhetsutvecklare
chaufför,chaufför
it-konsult,it-specialist
distriktssköterska,sjuksköterska
politiskt sakkunnig,politisk tjänsteman
fritidspedagog,fritidsledare
simrishamn,ort
sölvesborg,ort
örkelljunga,ort
arbetsförmedlare,arbetsförmedlare
valdemarsvik,ort
salem,ort
värnamo,ort
nora,ort
enskede,ort
bollebygd,ort
norsborg,ort
kungälv,ort
nationalekonom,ekonom
staffanstorp,ort
vadstena,ort
politiker,politiker
söderhamn,ort
partiledare,partiledare
sigtuna,ort
banktjänsteman,bankir
mullsjö,ort
ekonomichef,chef
specialistsjuksköterska,sjuksköterska
skara,ort
avdelningschef,chef
gruppchef,chef
emmaboda,ort
psykolog,psykolog
gnosjö,ort
metallarbetare,arbetare
författare,författare
utredare,utredare
advokat,advokat
eksjö,ort
kock,kock
sunne,ort
barnmorska,barnmorska
skinnskatteberg,ort
lycksele,ort
öckerö,ort
kinda,ort
ronneby,ort
ludvika,ort
grundskollärare,lärare
partille,ort
samhällsvetare,samhällsvetare
barnläkare,läkare
regionchef apotek,chef
kost och näringsekonom,kostekonom
håbo,ort
strömstad,ort
perstorp,ort
sala,ort
agronom,agronom
byggnadsingenjör,ingenjör
folkhälsovetare,folkhälsovetare
sjöbo,ort
örnsköldsvik,ort
miljökonsult,miljökonsult
it-tekniker,it-specialist
mariestad,ort
kramfors,ort
tidaholm,ort
härnösand,ort
degerfors,ort
kommunpolitiker,kommunpolitiker
högsby,ort
ambulanssjuksköterska,ambulanssjukvårdare
sköndal,ort
märsta,ort
pedagog,pedagog
behandlingsassistent,behandlare
strängnäs,ort
organisationsutvecklare,organisationsutvecklare
färjestaden,ort
specialpedagog,specialpedagog
orust,ort
liljeholmen,ort
socialarbetare,socialarbetare
lysekil,ort
hultsfred,ort
skärholmen,ort
ulricehamn,ort
universitetslektor,universitetslektor
luleå,ort
virserum,ort
ånge,ort
mellerud,ort
socialsekreterare,socialarbetare
åtvidaberg,ort
stenungsund,ort
härryda,ort
vara,ort
torsås,ort
redovisningsekonom,ekonom
tekniker,tekniker
hamnarbetare,arbetare
åmål,ort
bollnäs,ort
gällivare,ort
ale,ort
säffle,ort
tolk,tolk
officer,militär
vårdbiträde,vårdare
generalsekreterare,generalsekreterare
tensta,ort
politisk rådgivare,politisk tjänsteman
osby,ort
höganäs,ort
herrljunga,ort
