id,tvätt,valsedelsuppgift
202001,kommunstyrelsens ordförande,"44, Kommunstyrelsens ordförande, Centrala Väsby"
22973,kommunstyrelsens ordförande,"32, Kommunstyrelsens ordförande"
132918,kommunstyrelsens ordförande,"49 år, Kommunstyrelsens ordförande, Knivsta"
1662,kommunstyrelsens ordförande,"46 år, Kommunstyrelsens ordförande, Gnosjö"
56788,kommunstyrelsens ordförande,"63 år, kommunstyrelsens ordförande, Hofterup"
66434,kommunstyrelsens ordförande,Kommunstyrelsens ordförande
253982,kommunstyrelsens ordförande,"54 år, Kommunstyrelsens ordförande"
627,kommunstyrelsens ordförande,"59 år, Kommunstyrelsens ordförande"
93520,kommunstyrelsens ordförande,"61 år, Kommunstyrelsens ordförande"
180052,kommunstyrelsens ordförande,"49, Kallhäll, Kommunstyrelsens ordförande"
202002,försäljningsansvarig,"53, Försäljningschef, Bollstanäs"
67278,försäljningsansvarig,"försäljningschef, Odenslunda"
94905,försäljningsansvarig,"38, Försäljningschef"
20248,försäljningsansvarig,Försäljningschef
126512,försäljningsansvarig,"59, Försäljningschef, Hägernäs"
97066,försäljningsansvarig,försäljningschef
196499,försäljningsansvarig,"67år, Försäljningschef, Strängnäs"
200860,försäljningsansvarig,"46 år, försäljningschef"
24379,försäljningsansvarig,"47 år, Försäljningschef, Norrköping"
249751,försäljningsansvarig,"försäljningschef, 53 år, Östra Tollstad"
72183,försäljningsansvarig,"Försäljningschef, Aneby"
77799,försäljningsansvarig,"Försäljningschef, Habo"
77634,försäljningsansvarig,"Försäljningschef, Gislaved"
37183,försäljningsansvarig,"56 år,Försäljningschef,Jönköping"
137856,försäljningsansvarig,"61 år, Försäljningschef, Nässjö"
68886,försäljningsansvarig,"53 år, Försäljningschef, Vetlanda"
218953,försäljningsansvarig,"41 år, Försäljningschef"
218956,försäljningsansvarig,"50 år, Försäljningschef"
46243,försäljningsansvarig,"38 år, Försäljningschef, Tingsryd"
329298,försäljningsansvarig,"61 år, försäljningschef, Solstadström"
119614,försäljningsansvarig,"54, Försäljningschef, Kågeröd"
60925,försäljningsansvarig,"42 år, försäljningschef, Svedala"
63157,försäljningsansvarig,"46 år, försäljningschef, Åstorp"
63181,försäljningsansvarig,"48 år, försäljningschef, Åstorp"
52515,försäljningsansvarig,"48 år, försäljningschef, Båstad"
56923,försäljningsansvarig,"49 år, försäljningschef, Landskrona"
81221,försäljningsansvarig,"51, Försäljningschef, Ängelholm"
29610,försäljningsansvarig,"46 år, Försäljningschef, Steninge"
240622,försäljningsansvarig,"65 år, Försäljningschef, Falkenberg"
158814,försäljningsansvarig,"62 år, försäljningschef, Trönninge"
193034,försäljningsansvarig,"50, Försäljningschef"
