id,tvätt,tvätt2,valsedelsuppgift
202001,kommunstyrelsens ordförande,kommunstyrelsens ordförande,"44, Kommunstyrelsens ordförande, Centrala Väsby"
22973,kommunstyrelsens ordförande,kommunstyrelsens ordförande,"32, Kommunstyrelsens ordförande"
132918,kommunstyrelsens ordförande,kommunstyrelsens ordförande,"49 år, Kommunstyrelsens ordförande, Knivsta"
1662,kommunstyrelsens ordförande,kommunstyrelsens ordförande,"46 år, Kommunstyrelsens ordförande, Gnosjö"
56788,kommunstyrelsens ordförande,kommunstyrelsens ordförande,"63 år, kommunstyrelsens ordförande, Hofterup"
66434,kommunstyrelsens ordförande,kommunstyrelsens ordförande,Kommunstyrelsens ordförande
253982,kommunstyrelsens ordförande,kommunstyrelsens ordförande,"54 år, Kommunstyrelsens ordförande"
627,kommunstyrelsens ordförande,kommunstyrelsens ordförande,"59 år, Kommunstyrelsens ordförande"
93520,kommunstyrelsens ordförande,kommunstyrelsens ordförande,"61 år, Kommunstyrelsens ordförande"
180052,kommunstyrelsens ordförande,kommunstyrelsens ordförande,"49, Kallhäll, Kommunstyrelsens ordförande"
202002,försäljningsansvarig,säljare,"53, Försäljningschef, Bollstanäs"
67278,försäljningsansvarig,säljare,"försäljningschef, Odenslunda"
94905,försäljningsansvarig,säljare,"38, Försäljningschef"
20248,försäljningsansvarig,säljare,Försäljningschef
126512,försäljningsansvarig,säljare,"59, Försäljningschef, Hägernäs"
97066,försäljningsansvarig,säljare,försäljningschef
196499,försäljningsansvarig,säljare,"67år, Försäljningschef, Strängnäs"
200860,försäljningsansvarig,säljare,"46 år, försäljningschef"
24379,försäljningsansvarig,säljare,"47 år, Försäljningschef, Norrköping"
249751,försäljningsansvarig,säljare,"försäljningschef, 53 år, Östra Tollstad"
72183,försäljningsansvarig,säljare,"Försäljningschef, Aneby"
77799,försäljningsansvarig,säljare,"Försäljningschef, Habo"
77634,försäljningsansvarig,säljare,"Försäljningschef, Gislaved"
37183,försäljningsansvarig,säljare,"56 år,Försäljningschef,Jönköping"
137856,försäljningsansvarig,säljare,"61 år, Försäljningschef, Nässjö"
68886,försäljningsansvarig,säljare,"53 år, Försäljningschef, Vetlanda"
218953,försäljningsansvarig,säljare,"41 år, Försäljningschef"
218956,försäljningsansvarig,säljare,"50 år, Försäljningschef"
46243,försäljningsansvarig,säljare,"38 år, Försäljningschef, Tingsryd"
329298,försäljningsansvarig,säljare,"61 år, försäljningschef, Solstadström"
119614,försäljningsansvarig,säljare,"54, Försäljningschef, Kågeröd"
60925,försäljningsansvarig,säljare,"42 år, försäljningschef, Svedala"
63157,försäljningsansvarig,säljare,"46 år, försäljningschef, Åstorp"
63181,försäljningsansvarig,säljare,"48 år, försäljningschef, Åstorp"
52515,försäljningsansvarig,säljare,"48 år, försäljningschef, Båstad"
56923,försäljningsansvarig,säljare,"49 år, försäljningschef, Landskrona"
81221,försäljningsansvarig,säljare,"51, Försäljningschef, Ängelholm"
29610,försäljningsansvarig,säljare,"46 år, Försäljningschef, Steninge"
240622,försäljningsansvarig,säljare,"65 år, Försäljningschef, Falkenberg"
158814,försäljningsansvarig,säljare,"62 år, försäljningschef, Trönninge"
193034,försäljningsansvarig,säljare,"50, Försäljningschef"
255669,försäljningsansvarig,säljare,"Försäljningschef, Moholm"
24122,försäljningsansvarig,säljare,"53 år, försäljningschef, Stråningstorp"
9978,försäljningsansvarig,säljare,Försäljningschef
168331,försäljningsansvarig,säljare,"53 år, försäljningschef, Valbo"
17559,försäljningsansvarig,säljare,"försäljningschef, 37 år, Sollefteå"
252652,försäljningsansvarig,säljare,"63 år, Försäljningschef, Strömsund"
67706,försäljningsansvarig,säljare,"38, försäljningschef, Brån"
181974,försäljningsansvarig,säljare,"Försäljningschef, Tärendö"
27892,försäljningsansvarig,säljare,"Klippan, försäljningschef"
202003,studerande,studerande,"39, Student, Grimsta"
202014,studerande,studerande,"24, Student, Bollstanäs"
104756,studerande,studerande,"23, Student"
216690,studerande,studerande,"22 år, Student, Centrum"
216707,studerande,studerande,"18 år, Student, Odenslunda"
67301,studerande,studerande,"student, 19"
208822,studerande,studerande,"24, Student, Ängsvik"
208846,studerande,studerande,"25, Student, Björnkärret"
208848,studerande,studerande,"18, Student, Hästhagen"
208857,studerande,studerande,"19, Student, Gustavsbergs hamn"
25475,studerande,studerande,"24, Student, Gustavsberg"
25478,studerande,studerande,"21, Student, Ingarö"
246463,studerande,studerande,"Student, Jakobsberg"
20220,studerande,studerande,"24, Student"
92313,studerande,studerande,"22, Student, Älvnäs"
96787,studerande,studerande,"24, Student, Flemingsberg"
162451,studerande,studerande,"30, Student, Fullersta"
17766,studerande,studerande,"21, Student, Huddinge C"
17772,studerande,studerande,"20, Student, Flemingsberg"
17777,studerande,studerande,"27, Student, Huddinge C"
17784,studerande,studerande,"20, Student, Snättringe"
17787,studerande,studerande,"23, Student, Visättra"
145726,studerande,studerande,"Student, Uttran"
278497,studerande,studerande,"24 år, student, Norsborg"
278498,studerande,studerande,"24 år, student, Tumba"
278508,studerande,studerande,"24 år, student, Tullinge"
162119,studerande,studerande,"25, Student, Brandbergen"
162120,studerande,studerande,"19, Student, Norrby"
107079,studerande,studerande,"32, Student, Handen"
107086,studerande,studerande,"20, Student, Vega"
127671,studerande,studerande,"18 år, student, Söderby"
182451,studerande,studerande,Student
22874,studerande,studerande,"38, Student, Brevikshalvön"
23398,studerande,studerande,"18, Student, Brevikshalvön"
23404,studerande,studerande,"18, Student, Brevikshalvön"
23410,studerande,studerande,"21, Student, Tyresö Strand"
260704,studerande,studerande,"Student, Kungsängen"
67213,studerande,studerande,"Student, 23"
164166,studerande,studerande,"20, Student"
15029,studerande,studerande,"Student, Ella Park, 19 år"
94761,studerande,studerande,"21, Student, Näsbypark"
186717,studerande,studerande,"Student, Djursholm"
17681,studerande,studerande,"22, Student"
17697,studerande,studerande,"22, Student"
17708,studerande,studerande,"22, Student"
139820,studerande,studerande,"Student, Tureberg, 24 år"
139833,studerande,studerande,"Student, Skälby, 21 år"
20643,studerande,studerande,"18, Student"
20659,studerande,studerande,"27, Student"
20680,studerande,studerande,"22, Student"
212909,studerande,studerande,"27 år, student, Östermalm"
212910,studerande,studerande,"19 år, student, Västertorp"
312922,studerande,studerande,"21, Student, Bromma"
313937,studerande,studerande,"18, Student, Stockholm"
313937,studerande,studerande,"18, Studen, Stockholm"
313951,studerande,studerande,"26, Student, Spånga"
103086,studerande,studerande,"26, student, Södermalm"
104345,studerande,studerande,"29, student, Skarpnäck"
20458,studerande,studerande,"23, Student"
20459,studerande,studerande,"21, Student"
20485,studerande,studerande,"20, Student"
194384,studerande,studerande,"Student, Geneta, 20"
194421,studerande,studerande,"Student, Geneta, 21"
194437,studerande,studerande,"Student, Hovsjö, 18"
118552,studerande,studerande,"student, Järna, 18 år"
155973,studerande,studerande,"23, Student"
20602,studerande,studerande,Student
120812,studerande,studerande,"20 år, Student, Fisksätra"
156834,studerande,studerande,"26, Student"
111583,studerande,studerande,"27 år, Student, Råsunda"
111596,studerande,studerande,"21 år, Student, Huvudsta"
211821,studerande,studerande,"24 år, student, Huvudsta"
97088,studerande,studerande,"18, Student, Gåshaga"
148262,studerande,studerande,"22, Student, Skärsätra"
147999,studerande,studerande,"37, Student, Käppala"
12805,studerande,studerande,"21, Student, Sticklinge"
13047,studerande,studerande,"21, Student, Bodal"
108390,studerande,studerande,"25, Student, Norrtälje"
317511,studerande,studerande,"46, Sigtuna"
317511,studerande,studerande,"46, Student, Sigtuna"
317516,studerande,studerande,"18, Sigtuna"
317516,studerande,studerande,"18, Student, Sigtuna"
317517,studerande,studerande,"18, Valsta"
317517,studerande,studerande,"20, Student, Valsta"
317555,studerande,studerande,"28, Märsta"
317555,studerande,studerande,"28, Student, Märsta"
25461,studerande,studerande,"49, Student"
113756,studerande,studerande,"28, Student, Nynäshamn"
53994,studerande,studerande,"student, Älvkarleby, 20 år"
138094,studerande,studerande,"21 år, student, Tierp"
165686,studerande,studerande,"33 år, student, Kvarngärdet"
159114,studerande,studerande,"19 år, student, Kungsängen"
53289,studerande,studerande,"student, 23 år"
382655,studerande,studerande,"Student, 18 år, Sunnersta"
385065,studerande,studerande,"Student, 31 år, Centrum"
132916,studerande,studerande,"25 år, Student, Uppsala"
136077,studerande,studerande,"18, student, Funbo"
136093,studerande,studerande,"25, student, Kvarngärdet"
136099,studerande,studerande,"48, student, Gränby"
81377,studerande,studerande,"31 år, Student"
133566,studerande,studerande,"33 år, Student, Enköping"
133936,studerande,studerande,"21 år, Student, Tillinge"
138054,studerande,studerande,"26, student, Ekolsund"
132930,studerande,studerande,"Student, Östhammar"
138326,studerande,studerande,"22, student, Öregrund"
166877,studerande,studerande,"21, student, Nyköping"
116154,studerande,studerande,"23, Student"
