grund,tvätt
pensionär,pensionär
lärare,lärare
undersköterska,undersköterska
företagare,företagare
studerande,studerande
egenföretagare,egenföretagare
södermalm,södermalm
stockholm,stockholm
student,student
civilingenjör,civilingenjör
socionom,socionom
ekonom,ekonom
civilekonom,civilekonom
egen företagare,egen företagare
lantbrukare,lantbrukare
ingenjör,ingenjör
projektledare,projektledare
jönköping,jönköping
sjuksköterska,sjuksköterska
ombudsman,ombudsman
bromma,bromma
kommunalråd,kommunalråd
politisk sekreterare,politisk sekreterare
jurist,jurist
kungsholmen,kungsholmen
centrum,centrum
gymnasielärare,gymnasielärare
konsult,konsult
förskollärare,förskollärare
entreprenör,entreprenör
säljare,säljare
administratör,administratör
nyköping,nyköping
varberg,varberg
statsvetare,statsvetare
industriarbetare,industriarbetare
hägersten,hägersten
tjänsteman,tjänsteman
personlig assistent,personlig assistent
östermalm,östermalm
chaufför,chaufför
hässelby,hässelby
skarpnäck,skarpnäck
barnskötare,barnskötare
handläggare,handläggare
gruppledare,gruppledare
spånga,spånga
kalmar,kalmar
riksdagsledamot,riksdagsledamot
örebro,örebro
norrmalm,norrmalm
borås,borås
eskilstuna,eskilstuna
enhetschef,enhetschef
vd,vd
rektor,rektor
senior,senior
läkare,läkare
utredare,utredare
lund,lund
karlskrona,karlskrona
kommunikatör,kommunikatör
leg. psykolog,leg. psykolog
snickare,snickare
vällingby,vällingby
huskvarna,huskvarna
it-konsult,it-konsult
kristianstad,kristianstad
farsta,farsta
metallarbetare,metallarbetare
elektriker,elektriker
verksamhetschef,verksamhetschef
värnamo,värnamo
verksamhetsutvecklare,verksamhetsutvecklare
leg. sjuksköterska,leg. sjuksköterska
politiskt sakkunnig,politiskt sakkunnig
trelleborg,trelleborg
sundsvall,sundsvall
örnsköldsvik,örnsköldsvik
arbetsförmedlare,arbetsförmedlare
kock,kock
lantmästare,lantmästare
sjöbo,sjöbo
vasastan,vasastan
eksjö,eksjö
journalist,journalist
lagerarbetare,lagerarbetare
mönsterås,mönsterås
arbetsledare,arbetsledare
skärholmen,skärholmen
hudiksvall,hudiksvall
präst,präst
pedagog,pedagog
distriktssköterska,distriktssköterska
affärsutvecklare,affärsutvecklare
tekniker,tekniker
västervik,västervik
busschaufför,busschaufför
byggnadsarbetare,byggnadsarbetare
enskede,enskede
nässjö,nässjö
strömstad,strömstad
oppositionsråd,oppositionsråd
sandviken,sandviken
arkitekt,arkitekt
socialsekreterare,socialsekreterare
strängnäs,strängnäs
lokalvårdare,lokalvårdare
bollnäs,bollnäs
åstorp,åstorp
vårdbiträde,vårdbiträde
nybro,nybro
kungälv,kungälv
skellefteå,skellefteå
oskarshamn,oskarshamn
officer,officer
nynäshamn,nynäshamn
agronom,agronom
alingsås,alingsås
skara,skara
fritidsledare,fritidsledare
montör,montör
ockelbo,ockelbo
ulricehamn,ulricehamn
hallsberg,hallsberg
pressekreterare,pressekreterare
ljusdal,ljusdal
specialpedagog,specialpedagog
juriststudent,juriststudent
redovisningskonsult,redovisningskonsult
kista,kista
uppsala,uppsala
ljungby,ljungby
umeå,umeå
kungsbacka,kungsbacka
elevassistent,elevassistent
finspång,finspång
haga,haga
universitetslektor,universitetslektor
polis,polis
örkelljunga,örkelljunga
handen,handen
lidköping,lidköping
mjölby,mjölby
fritidspedagog,fritidspedagog
söderhamn,söderhamn
musiker,musiker
kommunikationschef,kommunikationschef
enköping,enköping
norrtälje,norrtälje
degerfors,degerfors
härnösand,härnösand
banktjänsteman,banktjänsteman
systemutvecklare,systemutvecklare
boendestödjare,boendestödjare
bålsta,bålsta
visby,visby
konstnär,konstnär
älmhult,älmhult
it-tekniker,it-tekniker
edsbyn,edsbyn
älvsjö,älvsjö
lycksele,lycksele
bandhagen,bandhagen
ödeshög,ödeshög
markaryd,markaryd
tumba,tumba
mullsjö,mullsjö
småföretagare,småföretagare
behandlingsassistent,behandlingsassistent
innerstaden,innerstaden
vetlanda,vetlanda
lindesberg,lindesberg
hallstahammar,hallstahammar
butiksbiträde,butiksbiträde
mariefred,mariefred
byggnadsingenjör,byggnadsingenjör
vimmerby,vimmerby
eslöv,eslöv
götene,götene
mölndal,mölndal
tullinge,tullinge
fastighetsskötare,fastighetsskötare
klippan,klippan
flen,flen
tolk,tolk
vaggeryd,vaggeryd
norrköping,norrköping
hammarbyhöjden,hammarbyhöjden
enskededalen,enskededalen
falköping,falköping
samhällsvetare,samhällsvetare
åhus,åhus
höör,höör
beteendevetare,beteendevetare
hässleholm,hässleholm
sollefteå,sollefteå
yrkeschaufför,yrkeschaufför
pastor,pastor
vaktmästare,vaktmästare
målare,målare
lastbilschaufför,lastbilschaufför
motala,motala
borgholm,borgholm
märsta,märsta
liljeholmen,liljeholmen
samordnare,samordnare
tranås,tranås
brämhult,brämhult
halmstad,halmstad
nora,nora
statstjänsteman,statstjänsteman
söder,söder
hedemora,hedemora
bussförare,bussförare
falkenberg,falkenberg
lomma,lomma
karlstad,karlstad
skötare,skötare
barnmorska,barnmorska
skutskär,skutskär
butikschef,butikschef
adjunkt,adjunkt
vendelsö,vendelsö
kil,kil
mölnlycke,mölnlycke
verksamhetsledare,verksamhetsledare
vännäs,vännäs
tandläkare,tandläkare
servicetekniker,servicetekniker
tierp,tierp
socialarbetare,socialarbetare
forshaga,forshaga
osby,osby
marknadsförare,marknadsförare
askersund,askersund
ystad,ystad
östhammar,östhammar
årsta,årsta
lerum,lerum
bredäng,bredäng
emmaboda,emmaboda
gränna,gränna
doktorand,doktorand
skillingaryd,skillingaryd
stenungsund,stenungsund
socialpedagog,socialpedagog
alnö,alnö
ryd,ryd
hammarby sjöstad,hammarby sjöstad
borgarråd,borgarråd
bollebygd,bollebygd
stödassistent,stödassistent
diakon,diakon
generalsekreterare,generalsekreterare
säffle,säffle
bagarmossen,bagarmossen
gislaved,gislaved
bjärred,bjärred
vårgårda,vårgårda
psykolog,psykolog
kanslichef,kanslichef
lysekil,lysekil
sjukpensionär,sjukpensionär
norrby,norrby
sävsjö,sävsjö
mariestad,mariestad
bibliotekarie,bibliotekarie
svetsare,svetsare
maskinoperatör,maskinoperatör
kurator,kurator
kungsängen,kungsängen
frisör,frisör
advokat,advokat
strömsund,strömsund
täby kyrkby,täby kyrkby
landskapsarkitekt,landskapsarkitekt
mekaniker,mekaniker
hönö,hönö
författare,författare
öckerö,öckerö
söderköping,söderköping
centrala sundbyberg,centrala sundbyberg
fjällbacka,fjällbacka
platschef,platschef
kriminalvårdare,kriminalvårdare
kiruna,kiruna
skribent,skribent
järvsö,järvsö
laxå,laxå
göteborg,göteborg
älvängen,älvängen
djursholm,djursholm
skövde,skövde
näsbypark,näsbypark
kisa,kisa
norra djurgårdsstaden,norra djurgårdsstaden
designer,designer
bankeryd,bankeryd
processoperatör,processoperatör
yrkeslärare,yrkeslärare
vilhelmina,vilhelmina
åmål,åmål
arbetssökande,arbetssökande
inköpare,inköpare
norsjö,norsjö
fotograf,fotograf
hagfors,hagfors
kulturvetare,kulturvetare
katrineholm,katrineholm
speciallärare,speciallärare
vårdare,vårdare
auktoriserad revisor,auktoriserad revisor
bromölla,bromölla
kumla,kumla
vadstena,vadstena
svenljunga,svenljunga
brevbärare,brevbärare
hestra,hestra
norr,norr
grundskollärare,grundskollärare
assistent,assistent
domsjö,domsjö
fisksätra,fisksätra
hultsfred,hultsfred
ronneby,ronneby
filipstad,filipstad
ludvika,ludvika
kvissleby,kvissleby
logistiker,logistiker
bro,bro
försäljningschef,försäljningschef
fil. mag.,fil. mag.
vindeln,vindeln
biomedicinsk analytiker,biomedicinsk analytiker
trädgårdsmästare,trädgårdsmästare
musiklärare,musiklärare
ordförande,ordförande
lärarstudent,lärarstudent
anderstorp,anderstorp
skogsbrukare,skogsbrukare
lilla edet,lilla edet
avesta,avesta
programmerare,programmerare
skärhamn,skärhamn
fabriksarbetare,fabriksarbetare
uddevalla,uddevalla
träslövsläge,träslövsläge
kulturarbetare,kulturarbetare
njurunda,njurunda
svedala,svedala
täby centrum,täby centrum
bonde,bonde
torsås,torsås
förhandlare,förhandlare
karlshamn,karlshamn
lektor,lektor
simrishamn,simrishamn
åseda,åseda
folkbildare,folkbildare
habo,habo
ängelholm,ängelholm
smedby,smedby
miljöhandläggare,miljöhandläggare
knivsta,knivsta
aneby,aneby
älta,älta
kramfors,kramfors
presschef,presschef
alby,alby
västerhaninge,västerhaninge
tensta,tensta
gnosjö,gnosjö
alvesta,alvesta
hyltebruk,hyltebruk
mellerud,mellerud
ekonomichef,ekonomichef
cnc-operatör,cnc-operatör
biolog,biolog
jur. kand,jur. kand
avdelningschef,avdelningschef
regionråd,regionråd
försäljare,försäljare
vara,vara
saltsjö-boo,saltsjö-boo
sunne,sunne
bergsjö,bergsjö
kopparberg,kopparberg
laholm,laholm
fjugesta,fjugesta
förskolelärare,förskolelärare
folkhögskolelärare,folkhögskolelärare
teamchef,teamchef
lambohov,lambohov
ekeby,ekeby
marknadsekonom,marknadsekonom
arvika,arvika
drifttekniker,drifttekniker
alfta,alfta
tanumshede,tanumshede
trossö,trossö
tomelilla,tomelilla
handledare,handledare
timrå,timrå
dalsjöfors,dalsjöfors
höllviken,höllviken
nämndeman,nämndeman
sekreterare,sekreterare
färjestaden,färjestaden
gribbylund,gribbylund
produktionsledare,produktionsledare
gällivare,gällivare
livsmedelsarbetare,livsmedelsarbetare
brandbergen,brandbergen
sölvesborg,sölvesborg
sala,sala
floda,floda
marknadschef,marknadschef
vikbolandet,vikbolandet
medicinsk sekreterare,medicinsk sekreterare
kanslist,kanslist
revisor,revisor
universitetsadjunkt,universitetsadjunkt
båstad,båstad
sveg,sveg
sigtuna,sigtuna
storuman,storuman
kungshamn,kungshamn
västerås,västerås
ånge,ånge
maskinförare,maskinförare
hovmantorp,hovmantorp
vänersborg,vänersborg
heby,heby
berga,berga
åtvidaberg,åtvidaberg
oppositionsborgarråd,oppositionsborgarråd
bergshamra,bergshamra
vårdlärare,vårdlärare
forskare,forskare
kyrkbyn,kyrkbyn
ekonomiassistent,ekonomiassistent
förbundsordförande kdu,förbundsordförande kdu
öster,öster
f.d. lärare,f.d. lärare
socialborgarråd,socialborgarråd
mariehem,mariehem
skurup,skurup
företagsledare,företagsledare
miljöborgarråd,miljöborgarråd
stallarholmen,stallarholmen
trafikborgarråd,trafikborgarråd
teg,teg
matfors,matfors
saltsjöbaden,saltsjöbaden
ormkärr,ormkärr
förvaltningsadministratör,förvaltningsadministratör
vaxön,vaxön
civilingenjör och lärare,civilingenjör och lärare
nationalekonom,nationalekonom
skarpäng,skarpäng
leg sjuksköterska,leg sjuksköterska
verkstadsarbetare,verkstadsarbetare
försäkringstjänsteman,försäkringstjänsteman
kävlinge,kävlinge
ämneslärare,ämneslärare
valsta,valsta
hörby,hörby
dala-järna,dala-järna
väktare,väktare
onsala,onsala
professor,professor
omsorgsassistent,omsorgsassistent
boendehandledare,boendehandledare
bilmekaniker,bilmekaniker
områdeschef,områdeschef
kalix,kalix
björknäs,björknäs
nödinge,nödinge
ås,ås
mantorp,mantorp
brandman,brandman
studie- och yrkesvägledare,studie- och yrkesvägledare
hägernäs,hägernäs
själevad,själevad
virserum,virserum
norrahammar,norrahammar
teleborg,teleborg
truckförare,truckförare
fd lärare,fd lärare
väster,väster
lyckeby,lyckeby
