grund,tvätt2,tvätt3
pensionär,pensionär,pensionär
lärare,lärare,lärare
undersköterska,undersköterska,undersköterska
företagare,företagare,egenföretagare
studerande,studerande,studerande
egenföretagare,egenföretagare,egenföretagare
södermalm,,
stockholm,,
student,student,studerande
civilingenjör,civilingenjör,civilingenjör
socionom,socionom,socionom
ekonom,ekonom,ekonom
civilekonom,civilekonom,civilekonom
egen företagare,egenföretagare,egenföretagare
lantbrukare,lantbrukare,bonde
ingenjör,ingenjör,ingenjör
projektledare,projektledare,projektledare
sjuksköterska,sjuksköterska,sjuksköterska
ombudsman,ombudsman,fackombudsman
kommunalråd,kommunalråd,kommunalråd
politisk sekreterare,politisk sekreterare,politisk tjänsteman
jurist,jurist,jurist
kungsholmen,,
gymnasielärare,gymnasielärare,lärare
konsult,konsult,konsult
förskollärare,förskollärare,förskolelärare
entreprenör,entreprenör,entreprenör
säljare,säljare,säljare
administratör,administratör,administratör
nyköping,,
statsvetare,statsvetare,statsvetare
industriarbetare,industriarbetare,arbetare
hägersten,,
tjänsteman,tjänsteman,tjänsteman
personlig assistent,personlig assistent,personlig assistent
östermalm,,
chaufför,chaufför,chaufför
hässelby,,
barnskötare,barnskötare,barnskötare
gruppledare,gruppledare,chef
handläggare,handläggare,handläggare
spånga,,
riksdagsledamot,riksdagsledamot,riksdagsledamot
norrmalm,,
eskilstuna,,
enhetschef,enhetschef,chef
vd,vd,vd
rektor,rektor,rektor
senior,senior,senior
läkare,läkare,läkare
utredare,utredare,utredare
karlskrona,,
kommunikatör,kommunikatör,kommunikationsrådgivare
leg. psykolog,leg. psykolog,psykolog
snickare,snickare,snickare
vällingby,,
huskvarna,,
it-konsult,it-konsult,it-konsult
kristianstad,,
metallarbetare,metallarbetare,arbetare
elektriker,elektriker,elektriker
verksamhetschef,verksamhetschef,chef
värnamo,,
verksamhetsutvecklare,verksamhetsutvecklare,verksamhetsutvecklare
leg. sjuksköterska,leg. sjuksköterska,sjuksköterska
politiskt sakkunnig,politiskt sakkunnig,politisk tjänsteman
örnsköldsvik,,
sundsvall,,
trelleborg,,
arbetsförmedlare,arbetsförmedlare,arbetsförmedlare
kock,kock,kock
lantmästare,lantmästare,lantmästare
vasastan,,
journalist,journalist,journalist
lagerarbetare,lagerarbetare,arbetare
mönsterås,,
arbetsledare,arbetsledare,chef
pedagog,pedagog,pedagog
präst,präst,präst
hudiksvall,,
affärsutvecklare,affärsutvecklare,affärsrådgivare
distriktssköterska,distriktssköterska,sjuksköterska
västervik,,
tekniker,tekniker,tekniker
byggnadsarbetare,byggnadsarbetare,byggarbetare
busschaufför,busschaufför,bussförare
enskede,,
oppositionsråd,oppositionsråd,oppositionsråd
sandviken,,
strömstad,,
socialsekreterare,socialsekreterare,socialsekreterare
arkitekt,arkitekt,arkitekt
lokalvårdare,lokalvårdare,lokalvårdare
strängnäs,,
vårdbiträde,vårdbiträde,vårdare
nybro,,
skellefteå,,
oskarshamn,,
officer,officer,militär
alingsås,,
nynäshamn,,
agronom,agronom,agronom
fritidsledare,fritidsledare,fritidsledare
montör,montör,montör
ulricehamn,,
ockelbo,,
ljusdal,,
specialpedagog,specialpedagog,specialpedagog
pressekreterare,pressekreterare,kommunikatör
juriststudent,juriststudent,studerande
redovisningskonsult,redovisningskonsult,redovisningskonsult
uppsala,,
kungsbacka,,
elevassistent,elevassistent,elevassistent
finspång,,
örkelljunga,,
polis,polis,polis
universitetslektor,universitetslektor,universitetslektor
handen,,
fritidspedagog,fritidspedagog,fritidsledare
musiker,musiker,musiker
härnösand,,
kommunikationschef,kommunikationschef,kommunikationschef
degerfors,,
banktjänsteman,banktjänsteman,bankir
boendestödjare,boendestödjare,boendeassistent
bålsta,,
systemutvecklare,systemutvecklare,systemutvecklare
konstnär,konstnär,konstnär
älmhult,,
markaryd,,
ödeshög,,
edsbyn,,
älvsjö,,
it-tekniker,it-tekniker,it-tekniker
lycksele,,
bandhagen,,
behandlingsassistent,behandlingsassistent,behandlare
innerstaden,,
vetlanda,,
småföretagare,småföretagare,egenföretagare
lindesberg,,
vimmerby,,
byggnadsingenjör,byggnadsingenjör,ingenjör
eslöv,,
mariefred,,
butiksbiträde,butiksbiträde,butiksbiträde
hallstahammar,,
götene,götene,
mölndal,,
tolk,tolk,tolk
vaggeryd,,
fastighetsskötare,fastighetsskötare,fastighetsförvaltare
hammarbyhöjden,,
falköping,,
samhällsvetare,samhällsvetare,samhällsvetare
norrköping,,
enskededalen,,
hässleholm,,
beteendevetare,beteendevetare,beteendevetare
pastor,pastor,pastor
vaktmästare,vaktmästare,vaktmästare
yrkeschaufför,yrkeschaufför,yrkesförare
målare,målare,målare
lastbilschaufför,lastbilschaufför,lastbilsförare
brämhult,,
liljeholmen,,
samordnare,samordnare,samordnare
bussförare,bussförare,bussförare
statstjänsteman,statstjänsteman,statstjänsteman
hedemora,,
söder,söder,
butikschef,butikschef,butikschef
karlstad,,
skötare,skötare,skötare
barnmorska,barnmorska,barnmorska
falkenberg,,
skutskär,,
adjunkt,adjunkt,militär
mölnlycke,mölnlycke,
vendelsö,,
